Rupture Index,Average Slip (m)
0,2.240882244160538
1,2.7449171229448313
2,3.1697922691518063
3,3.5441888347114543
4,4.193151249231406
5,4.754768528580747
6,5.256503361824787
7,5.713605497528585
8,6.136529778532031
9,6.532175863321981
10,6.905132108400543
11,6.339240949581158
12,6.907205718056094
13,7.43158233219536
14,7.921497164065223
15,8.382845277321495
16,8.820138180032748
17,9.236636665834494
18,9.635425111957797
19,10.018665731821564
20,10.387698222961324
21,8.384116722176456
22,8.962501939137953
23,9.505876493969524
24,10.019751170408757
25,10.508306047032146
26,10.97551553894273
27,11.423911700915639
28,11.855222860863917
29,12.271131699583298
30,12.673204467488688
31,13.06291400066081
32,13.441550249151941
33,13.809853534038055
34,10.509711185717926
35,11.090495600910415
36,11.642021132757367
37,12.169008009592229
38,12.674373748571066
39,13.160180420039369
40,13.628419962094569
41,14.080894863471357
42,14.519271345628667
43,14.945025547512328
44,15.359022217701355
45,15.761987460126182
46,16.154715120329925
47,16.538057769843622
48,16.912789366393866
49,17.279359434734996
50,17.638042778121147
51,17.989439473195613
52,18.334185889749005
53,18.672561999424815
54,19.00488954658078
55,19.33144941233888
56,19.652487709174196
57,19.968284356807487
58,20.279120807892514
59,20.58525121517269
60,20.886901961661287
61,21.184238048066945
62,21.477420489096875
63,21.7665682222227
64,22.051847534026738
65,22.333429439304552
66,22.611466240649424
67,22.886070020006215
68,23.1573661020839
69,23.425486473135074
70,23.69053756922017
71,23.95260499255877
72,24.211779020899154
73,24.468144150949943
74,24.721782437271663
75,24.972786314211053
76,25.221223849317607
77,25.46716853318328
78,25.710680604461043
79,25.951837531456594
80,26.19072353078665
81,26.427393861571073
82,26.66188496806259
83,26.89427708872602
84,27.124638877258246
85,27.35303267891144
86,27.57950169693154
87,27.804089735961234
88,28.026838042567586
89,28.24778791821765
90,28.46698909849605
91,28.68448122564502
92,28.900300868563832
93,29.114476768524145
94,29.32704273177706
95,29.53803116963894
96,29.747502877579638
97,29.95540241267899
98,30.161629278462495
99,30.366400129039434
100,30.569883734283597
101,30.77212024657955
102,30.973066981151877
103,31.052978773346954
104,12.373943319951437
105,12.96813939723971
106,13.53656665392728
107,14.081896838405282
108,14.606621466085354
109,15.112926120097598
110,15.602782146630794
111,16.0779492374522
112,16.53951220292495
113,16.98838539515677
114,17.42550169414944
115,17.85186858379747
116,18.268382632155333
117,18.67555750157366
118,19.07375147484472
119,19.463654894867496
120,19.845984070614264
121,20.221056353586153
122,20.589260977854124
123,20.950947589586654
124,21.306415455196948
125,21.655977389713296
126,21.999940600912662
127,22.28244166612442
128,22.561411880874587
129,22.83695618598698
130,23.109180228923943
131,23.37815446393494
132,23.643996865129854
133,23.906833183892125
134,24.16677476030513
135,24.42389797417609
136,24.6782939185299
137,24.93006211813221
138,25.179280091147902
139,25.42600748260519
140,25.67030987389465
141,25.912248822602717
142,26.15188488449028
143,26.389289641924194
144,26.624512754787496
145,26.857610013125374
146,27.088625570397298
147,27.317620780652128
148,27.54466425110309
149,27.769797835260025
150,27.993046127112102
151,28.214476028197776
152,28.43414404732849
153,28.65210125525969
154,28.86838096683334
155,29.083017520323228
156,29.296043231316865
157,29.507490862162065
158,29.71740162694967
159,29.92580743733279
160,30.13273758564296
161,30.379223229507605
162,30.62367330315982
163,30.86613294407225
164,31.106678627642182
165,31.34526587403339
166,31.58180827536797
167,31.777428880187486
168,31.971933273426362
169,32.165355687483824
170,32.35765128398829
171,32.43415187199418
172,14.170934935472827
173,14.777941491665734
174,15.360720789277124
175,15.921962710001495
176,16.464032233286613
177,16.989024731057796
178,17.49831809317283
179,17.993070396736485
180,18.4063425927888
181,18.810490289317737
182,19.20622638263419
183,19.593921785888174
184,19.97381569888669
185,20.346478211018095
186,20.712517787550205
187,21.072171820289757
188,21.425754799528452
189,21.773550516617558
190,22.115800527182543
191,22.452764783935564
192,22.784702601198365
193,23.05759072197831
194,23.327292739245465
195,23.59389424357392
196,23.85748280738846
197,24.118113080592654
198,24.375886806880754
199,24.630914319945745
200,24.883292933470702
201,25.133086852694728
202,25.380375309773427
203,25.625246438616585
204,25.86776761666357
205,26.107989387263974
206,26.345968575522704
207,26.58175855857092
208,26.81541217161015
209,27.04699341266262
210,27.276545277269168
211,27.50411708197663
212,27.72974709906309
213,27.953490695724348
214,28.175410622981353
215,28.395543752789525
216,28.61391030333921
217,28.830572091356302
218,29.045580997757583
219,29.258983789349614
220,29.470810032415823
221,29.681090456887613
222,29.88985396351678
223,30.097130033946044
224,30.302956574084092
225,30.507362502287755
226,30.71037428774056
227,30.95226028330738
228,31.192219820898924
229,31.43029385618192
230,31.666554318779692
231,31.900954501994157
232,32.133406567588324
233,32.32568929676612
234,32.51691433873185
235,32.70711399660012
236,32.896242866454315
237,32.97149382761825
238,16.001227460635178
239,16.616449723533332
240,17.209629821822766
241,17.78322722194788
242,18.27039517940651
243,18.74478010833475
244,19.141829657604777
245,19.530763837598922
246,19.912190219256047
247,20.28639827254817
248,20.653558872077724
249,21.01417028608143
250,21.368775518152475
251,21.717564232674583
252,22.06080544169758
253,22.398742536810804
254,22.731581451813266
255,23.059549130009874
256,23.38287470850592
257,23.64886138437709
258,23.911895352159505
259,24.17204989918025
260,24.429401029541644
261,24.683993302834452
262,24.93591792009701
263,25.18527512777126
264,25.432153043040042
265,25.676607917317863
266,25.918711165820078
267,26.158543364322398
268,26.39616516989171
269,26.63162109947978
270,26.864962145655095
271,27.096236221373854
272,27.325490986494177
273,27.552785318957667
274,27.778157730586848
275,28.00165315836501
276,28.223305898577685
277,28.443167233815156
278,28.661295898117523
279,28.87772536741176
280,29.092472889761225
281,29.305596764860688
282,29.517145674725562
283,29.72716340902001
284,29.935676952799632
285,30.142714543959134
286,30.348302721239
287,30.55246869122645
288,30.755248052071167
289,30.95666763787142
290,31.156751950210296
291,31.395198970821788
292,31.63179852185437
293,31.866588629459486
294,32.099638005113384
295,32.33089844770235
296,32.5602812122078
297,32.75005774664533
298,32.93881920985478
299,33.12659653141338
300,33.31334395479515
301,33.38765483725298
302,17.641850376298308
303,18.20183214166035
304,18.678085026253456
305,19.142369211523363
306,19.531337852333778
307,19.912665561486136
308,20.286912803782332
309,20.65433283404789
310,21.01506607798903
311,21.369577892083008
312,21.71838097022622
313,22.061643171465946
314,22.399612461218055
315,22.732513442310104
316,23.060535423468174
317,23.383889825681177
318,23.702791514011036
319,23.965227718118467
320,24.22482679074574
321,24.48165617286004
322,24.735786347943087
323,24.98725707108084
324,25.236154462865933
325,25.482573885524744
326,25.72659899806693
327,25.96828220722202
328,26.20769112723882
329,26.444902642154897
330,26.679974130215697
331,26.912947170791618
332,27.14386990193612
333,27.37278755770687
334,27.59974525482735
335,27.82479934318331
336,28.047986126496568
337,28.26934837685804
338,28.48891842650716
339,28.706745527615254
340,28.922886410189854
341,29.137372863476596
342,29.350220665178536
343,29.561486350861617
344,29.771216998896282
345,29.979454905884808
346,30.18622576664144
347,30.3915565709516
348,30.595472673429505
349,30.798000138190048
350,30.999173399783384
351,31.19901824284713
352,31.397558177693796
353,31.634190128616634
354,31.869015417107807
355,32.102070588541274
356,32.333422715919895
357,32.563022866250165
358,32.7907818703115
359,32.979232023777236
360,33.166689205234896
361,33.35318364243498
362,33.538669416383534
363,33.612482146972695
364,2.241674713930617
365,2.7455639457794208
366,3.1704597393238596
367,3.5444681761299206
368,4.483120514413697
369,5.012122818299558
370,5.489611715695963
371,5.928536747670229
372,6.337181773710552
373,6.720967319711966
374,7.084183696812354
375,6.723097732063139
376,7.260782980986459
377,7.761486452163266
378,8.231807245947069
379,8.676715621138746
380,9.099780993786853
381,9.504313496657089
382,9.892634717850974
383,10.266198595289113
384,10.626421334843002
385,8.821394319275564
386,9.372952877502593
387,9.893733983365241
388,10.388217142503825
389,10.86059397556592
390,11.31354583597102
391,11.74890933397772
392,12.168452458176676
393,12.57380905120664
394,12.966506286582531
395,13.347877609291503
396,13.718695953276281
397,14.07959756047118
398,10.976777897282659
399,11.533742549877767
400,12.065459702601274
401,12.574987574604322
402,13.064490495391093
403,13.53604057572345
404,13.991503296995338
405,14.43259523706916
406,14.86083288280154
407,15.2771112877284
408,15.682181447168132
409,16.07685875042035
410,16.462014513853266
411,16.838438513818936
412,17.206592639631122
413,17.566761829630316
414,17.919556384765297
415,18.265621835164623
416,18.60524497861812
417,18.938753815009946
418,19.266434700152853
419,19.5885385649048
420,19.905349792732448
421,20.217153885170926
422,20.524208591768765
423,20.82674349307818
424,21.124926340331125
425,21.41892066148528
426,21.70884759341749
427,21.9948755746338
428,22.27717761774558
429,22.555907825921018
430,22.831179852609832
431,23.10312051401034
432,23.371863199042508
433,23.637515592776623
434,23.900164417716272
435,24.159901009759412
436,24.416810844426983
437,24.67097688923834
438,24.922492456772655
439,25.171426391560406
440,25.417852926405338
441,25.661832974180015
442,25.90344467180944
443,26.14277287943725
444,26.379873411844095
445,26.61478320611236
446,26.84758304444904
447,27.078342075685427
448,27.307123104056
449,27.533969736953953
450,27.758926164489306
451,27.982033996084546
452,28.203334879012438
453,28.422878891631605
454,28.640705987566253
455,28.856853028366643
456,29.071349023320355
457,29.28422804248004
458,29.495522747545948
459,29.705294214033128
460,29.91348710385903
461,30.120000960381244
462,30.325052910623295
463,30.52881211043962
464,30.73131890965907
465,30.932530704502966
466,31.012546949696688
467,12.87102180850444
468,13.443556094533598
469,13.992511673119406
470,14.52046678393613
471,15.029674030197153
472,15.522157607545179
473,15.99971931829039
474,16.463475664871243
475,16.914366847176655
476,17.35334772387015
477,17.781444830818195
478,18.199570674054588
479,18.608251317340702
480,19.007855343846447
481,19.399083268396648
