Rupture Index,Magnitude,Average Rake (degrees),Area (m^2),Length (m)
15328,8.696186655579723,0.0,3.946315066971908E10,567835.5571003252
15329,8.715458301430914,0.0,4.125374909269348E10,597672.6659630855
15330,8.733906378002892,0.0,4.304389069644923E10,627502.1634858951
15331,8.751597348514444,0.0,4.4833486161348694E10,657322.3886169128
15332,8.76859066473438,0.0,4.662253086291116E10,687133.1530932667
15333,8.78493914284877,0.0,4.841103206456705E10,716935.2288244071
15334,8.80069119747591,0.0,5.019915577788582E10,746730.5039506368
15335,8.815888695223206,0.0,5.198690084268364E10,776518.8759654686
15336,8.830569278297896,0.0,5.377427049735836E10,806299.8758996072
15337,8.84476691208053,0.0,5.5561271645266624E10,836074.1424130067
15338,8.85851191254303,0.0,5.734785687738678E10,865841.1855721681
15339,8.871831076088373,0.0,5.913387937000927E10,895598.9596940379
15340,7.354109195919047,0.0,1.7951998643442755E9,59839.997711790944
15341,7.530207122002466,0.0,2.6928423466700525E9,89761.41808541205
15342,7.655156248822053,0.0,3.5905435088407187E9,119684.78870769858
15343,7.7520669010220855,0.0,4.488187103038094E9,149606.245275899
15344,7.956221883333015,0.0,7.181681856794823E9,119684.78870769858
15345,8.053137747618763,0.0,8.977225493834265E9,149606.245275899
15346,8.132316359223248,0.0,1.0772607424778564E10,179525.18664424398
15347,8.167067453922105,0.0,1.1670029848379065E10,209439.26673635308
15348,8.199239439475079,0.0,1.256735803779643E10,239350.2088968611
15349,8.229187517203469,0.0,1.3464557926234304E10,269256.87066306674
15350,8.2572003414986,0.0,1.4361670366022741E10,299160.6187228749
15351,8.283509468496433,0.0,1.5258579705090933E10,329057.5987478762
15352,8.308309919338711,0.0,1.6155283699826155E10,358947.7317317182
15353,8.331765861057228,0.0,1.7051812821365988E10,388832.03889346187
15354,8.35401714201387,0.0,1.794823975960957E10,418712.93475685
15355,8.375180510026002,0.0,1.884452755517533E10,448589.19426904636
15356,8.395356136550697,0.0,1.9740625191296696E10,478459.11367999343
15357,8.414632934634053,0.0,2.0636579850293427E10,508324.272470873
15358,8.433087880893076,0.0,2.153241239680514E10,538185.3545870967
15359,8.450787351154847,0.0,2.242808425307314E10,568041.075878537
15360,8.467790168393245,0.0,2.3323569406804226E10,597890.5830019274
15361,8.484148223862134,0.0,2.4218826088775784E10,627732.4736282126
15362,8.499907804758127,0.0,2.5113814785454414E10,657565.4331800431
15363,8.515111016409278,0.0,2.6008536523103924E10,687389.4933736048
15364,8.529795401281692,0.0,2.6902975534908905E10,717204.1249310111
15365,8.543996760028888,0.0,2.7797240923278427E10,747012.9728244854
15366,7.354194312928158,0.0,1.7955517389222703E9,59851.73031258309
15367,7.530277481756321,0.0,2.693278648054132E9,89775.95942525269
15368,7.655228191596363,0.0,3.5911383479541044E9,119704.61043436202
15369,7.752149267041959,0.0,4.489038390796173E9,149634.61108265707
15370,7.83133091816908,0.0,5.386852183241981E9,179561.73874485702
15371,7.353613115993516,0.0,1.7931504365873718E9,59771.67992430664
15372,7.529560023247339,0.0,2.6888329949753656E9,89627.76657943396
15373,7.654370021473404,0.0,3.5840492221594415E9,119468.30303556906
15374,7.751182482700626,0.0,4.479056431495202E9,149301.87374769576
15375,7.955574605114709,0.0,7.17098614415332E9,119468.30303556906
15376,8.052402940313673,0.0,8.962049245737364E9,149301.87374769576
15377,8.131535145888957,0.0,1.075324694555056E10,179140.41714545977
15378,8.19846026374372,0.0,1.2544830898425602E10,208989.48479387935
15379,8.256439118477966,0.0,1.4336519526725054E10,238843.59477444243
15380,8.30757518744418,0.0,1.6127975546167559E10,268693.7700770829
15381,8.353303185523131,0.0,1.7918758037419918E10,298531.8179780067
15382,8.30777302264874,0.0,1.6135324043226782E10,179140.41714545977
15383,8.374696255301883,0.0,1.8823526883487E10,208989.48479387935
15384,8.432669848816527,0.0,2.151169622674319E10,238843.59477444243
15385,8.48380124251005,0.0,2.4199484064906E10,268693.7700770829
15386,8.529527134692021,0.0,2.688636250109228E10,298531.8179780067
15387,8.570881901934435,0.0,2.957241981829135E10,328358.94967198296
15388,8.608631731870377,0.0,3.225794779702198E10,358179.9354804234
15389,8.643355973740011,0.0,3.494306653560363E10,387996.88570083806
15390,8.675501458371997,0.0,3.762760145973443E10,417806.79088714934
15391,8.70542532591519,0.0,4.031163714819455E10,447611.46648745413
15392,8.557719559495194,0.0,2.8689600837687046E10,238843.59477444243
15393,8.608849523510102,0.0,3.2274128709563572E10,268693.7700770829
15394,8.654575161248623,0.0,3.585751717592409E10,298531.8179780067
15395,8.695930575079917,0.0,3.943988816892847E10,328358.94967198296
15396,8.733681170833602,0.0,4.3021575675264305E10,358179.9354804234
15397,8.76840623989505,0.0,4.6602736605201004E10,387996.88570083806
15398,8.800552504193668,0.0,5.018312706442413E10,417806.79088714934
15399,8.830477042734387,0.0,5.376285110522761E10,447611.46648745413
15400,8.858468677182412,0.0,5.734214799847546E10,477412.91038903
15401,8.884761523887036,0.0,6.092097329695942E10,507209.30460750003
15402,8.909548223466523,0.0,6.4499085978577675E10,536999.864433823
15403,8.932991202007674,0.0,6.807639739584999E10,566782.5558931262
15404,8.955227892230402,0.0,7.165281873869788E10,596558.146983644
15405,8.751578981658778,0.0,4.483159013525307E10,298531.8179780067
15406,8.792935653121033,0.0,4.931066512299267E10,328358.94967198296
15407,8.83068726628241,0.0,5.378888175086834E10,358179.9354804234
15408,8.865413417049327,0.0,5.826646961904862E10,387996.88570083806
15409,8.897560980318241,0.0,6.274314787383751E10,417806.79088714934
15410,8.927486493866402,0.0,6.721896955076235E10,447611.46648745413
15411,8.955478763108868,0.0,7.169422110300694E10,477412.91038903
15412,8.981772146769291,0.0,7.61688789480026E10,507209.30460750003
15413,9.006559418885766,0.0,8.064266348588887E10,536999.864433823
15414,9.030002980438592,0.0,8.511546005689226E10,566782.5558931262
15415,9.05224016787119,0.0,8.95871380817117E10,596558.146983644
15416,9.073388388772557,0.0,9.405760311737538E10,626327.6783177053
15417,9.09354981735682,0.0,9.852702244829753E10,656093.9217731776
15418,9.11281144288251,0.0,1.0299520473204214E11,685853.1006019345
15419,9.131249823193915,0.0,1.074621204860901E11,715600.8968886608
15420,9.148931439725393,0.0,1.11927561499579E11,745333.3911513176
15421,9.16591637146936,0.0,1.16391694977138E11,775054.159814584
15422,9.182258553964436,0.0,1.2085488052467401E11,804769.2905913312
