Rupture Index,Average Slip (m)
0,0.9449722069577012
1,1.1575219529470793
2,1.3366903164962682
3,1.4945720390884418
4,1.7682372201480896
5,2.005069263114766
6,2.2166490879421
7,2.4094074602781292
8,2.5877531507923295
9,2.754595721343482
10,2.9118700658249423
11,2.6732357428296596
12,2.9127444997661645
13,3.1338722844284113
14,3.3404676560057354
15,3.5350165422292785
16,3.7194214302767485
17,3.8950573854226445
18,4.063225078760559
19,4.2248363081289115
20,4.380456019294087
21,3.535552706078918
22,3.779455729706363
23,4.008594879530898
24,4.225294033785818
25,4.431315916990883
26,4.62833652609822
27,4.817423619752993
28,4.999306027792948
29,5.174693330825914
30,5.344246011175511
31,5.508585158666936
32,5.668254740726963
33,5.823566948164697
34,4.431908459061508
35,4.676823216193996
36,4.9093996045254436
37,5.131628127839454
38,5.344739092919432
39,5.549602067619893
40,5.747057045271571
41,5.937864129071356
42,6.122725958782415
43,6.302265017036781
44,6.476845965286571
45,6.646774999020372
46,6.8123868801279786
47,6.9740411350429525
48,7.1320641390323996
49,7.286645455113431
50,7.437900966857444
51,7.5860837244867065
52,7.731462082916806
53,7.874154105210861
54,8.01429546983953
55,8.152004623389894
56,8.287385350631947
57,8.420555692733375
58,8.551634337294079
59,8.680728459637368
60,8.807933524688162
61,8.933319112668563
62,9.056953122917543
63,9.178885710951004
64,9.29918699923928
65,9.417929104123692
66,9.535176251075292
67,9.650975704658403
68,9.765380313864355
69,9.878445736834612
70,9.99021685728361
71,10.100729773368036
72,10.21002255489876
73,10.318130833842106
74,10.42508921231968
75,10.530936669571954
76,10.635701909446801
77,10.739415922669894
78,10.84210411167029
79,10.943799144561895
80,11.044536535197423
81,11.1443395861545
82,11.243223665847072
83,11.341222610555194
84,11.438365371302787
85,11.534678238864702
86,11.630179431898682
87,11.724887422669383
88,11.818819604709919
89,11.911993394704533
90,12.004429765975354
91,12.09614543551732
92,12.187155824307386
93,12.277473052439321
94,12.367111375891005
95,12.456084462401217
96,12.54441794920702
97,12.63208845622295
98,12.719053604436786
99,12.805404756129283
100,12.891213080965686
101,12.97649551106648
102,13.06123404641102
103,13.094932569762397
104,5.218048631646983
105,5.468619039790473
106,5.708322826389125
107,5.938286658397514
108,6.159561199153065
109,6.373068101419647
110,6.579638674992115
111,6.780014975735831
112,6.974654464387819
113,7.163942720034803
114,7.348273134911655
115,7.528070561453949
116,7.703713079275344
117,7.8754172979930415
118,8.043334304207782
119,8.2077552131063
120,8.368982089677377
121,8.527148759939598
122,8.682419362539708
123,8.834941342044248
124,8.984840898053257
125,9.132249943570608
126,9.277298027041448
127,9.396427738456097
128,9.514068502576887
129,9.630264572582442
130,9.74506049963815
131,9.858485994054746
132,9.9705908051017
133,10.081427961697708
134,10.191044415566786
135,10.299472375806575
136,10.406750256026987
137,10.512920025473706
138,10.61801437328607
139,10.722058451563576
140,10.825079915749583
141,10.927104724462962
142,11.028158413856435
143,11.128271169963629
144,11.227463934183579
145,11.325760232983448
146,11.423178685722625
147,11.519745165188981
148,11.615488602804442
149,11.71042664804786
150,11.804569672118287
151,11.897945887160654
152,11.99057912274306
153,12.082490915224705
154,12.173695313357854
155,12.264206797472502
156,12.354038994939007
157,12.443205721524585
158,12.531724357067537
159,12.619608358600301
160,12.706870078596655
161,12.81081221275972
162,12.913895954081719
163,13.01614033687704
164,13.117577610553317
165,13.218189018119142
166,13.317938121674535
167,13.40043064672562
168,13.482452469255842
169,13.56401802494859
170,13.645108405619235
171,13.677368436091552
172,5.975833712602833
173,6.231806254907607
174,6.477562246980895
175,6.714236002527905
176,6.942824825112437
177,7.164212325748842
178,7.378979555772079
179,7.58761487224811
180,7.761890312287686
181,7.932317982782655
182,8.09919850961469
183,8.262688305562165
184,8.42288824034744
185,8.580038718672165
186,8.734396328212235
187,8.886061176262494
188,9.035165882279312
189,9.181830120083225
190,9.326155752836874
191,9.468252401690034
192,9.608229418585472
193,9.723305384945574
194,9.837037782594766
195,9.949462704778878
196,10.060617080483231
197,10.170523955381073
198,10.279226234432523
199,10.386770444970118
200,10.493197623833746
201,10.598534846148238
202,10.702815523836575
203,10.806076822660346
204,10.908347155450139
205,11.00964783615975
206,11.11000282773723
207,11.209434639132242
208,11.307965550764244
209,11.405622550375723
210,11.502423769035817
211,11.598390003359885
212,11.693537392633777
213,11.787889285010365
214,11.881472142375769
215,11.974301513504665
216,12.066385924337228
217,12.15775144277062
218,12.248419946806042
219,12.338411157842302
220,12.427737543877736
221,12.516412063617068
222,12.604446904405977
223,12.691854498550518
224,12.778650830839535
225,12.86484809604299
226,12.950457456123232
227,13.052459934682101
228,13.153650032648795
229,13.254045020884766
230,13.353675231860667
