Section Index,Slip Rate (m/yr),Slip Rate Standard Deviation (m/yr)
0,1.7494476633146405E-6,0.0
1,0.0018182321786880493,0.0
2,3.677864372730255E-4,0.0
3,1.7743078991770745E-5,0.0
4,0.008763757705688477,0.0
5,0.0072430577278137205,0.0
6,0.0060253205299377445,0.0
7,0.001631260395050049,0.0
8,5.578454583883286E-5,0.0
9,0.009778438568115234,0.0
10,0.008851146697998047,0.0
11,0.01274804973602295,0.0
12,0.005342045783996582,0.0
13,4.152938425540924E-4,0.0
14,0.009967766761779785,0.0
15,0.010035694122314453,0.0
16,0.012655803680419922,0.0
17,0.011415271759033204,0.0
18,0.0032408030033111573,0.0
19,0.010169116973876954,0.0
20,0.009855472564697265,0.0
21,0.011595003128051758,0.0
22,0.0146663236618042,0.0
23,0.008201330184936524,0.0
24,0.0028147284984588626,0.0
25,0.010306221008300781,0.0
26,0.010254259109497071,0.0
27,0.012413561820983887,0.0
28,0.015224036216735841,0.0
29,0.009626984596252441,0.0
30,0.0016845099925994872,0.0
31,0.017368021011352538,0.0
32,0.013821203231811524,0.0
33,0.019397186279296874,0.0
34,0.021763660430908202,0.0
35,0.020414281845092773,0.0
36,0.00798537302017212,0.0
37,3.195962905883789E-4,0.0
38,0.02564535140991211,0.0
39,0.024420507431030275,0.0
40,0.02403444290161133,0.0
41,0.023451971054077148,0.0
42,0.02069731903076172,0.0
43,0.012965473175048828,0.0
44,0.0025827012062072754,0.0
45,7.687729001045227E-4,0.0
46,0.028112266540527345,0.0
47,0.02727961540222168,0.0
48,0.02360917091369629,0.0
49,0.021290149688720703,0.0
50,0.020111919403076172,0.0
51,0.01597148895263672,0.0
52,0.006873589992523193,0.0
53,0.0027619743347167968,0.0
54,0.002786221504211426,0.0
55,0.029006988525390624,0.0
56,0.029156984329223635,0.0
57,0.026929275512695312,0.0
58,0.023507291793823243,0.0
59,0.020609294891357422,0.0
60,0.019121795654296874,0.0
61,0.010700432777404786,0.0
62,0.00787452507019043,0.0
63,0.0063006944656372075,0.0
64,0.030631166458129883,0.0
65,0.027663766860961916,0.0
66,0.02508896064758301,0.0
67,0.02317869186401367,0.0
68,0.02325320053100586,0.0
69,0.02237160110473633,0.0
70,0.01591376876831055,0.0
71,0.009034696578979493,0.0
72,0.005167008876800537,0.0
73,0.020916790008544923,0.0
74,0.02158126449584961,0.0
75,0.020327779769897462,0.0
76,0.01909756278991699,0.0
77,0.02509259796142578,0.0
78,0.02103591537475586,0.0
79,0.011496000289916992,0.0
80,0.005139236450195313,0.0
81,0.002531458377838135,0.0
82,0.0078987717628479,0.0
83,0.009265928268432618,0.0
84,0.01192542839050293,0.0
85,0.014506980895996094,0.0
86,0.017637046813964843,0.0
87,0.014577793121337891,0.0
88,0.006478452682495118,0.0
89,8.302906751632691E-4,0.0
90,1.9976598024368288E-4,0.0
91,0.008692272186279297,0.0
92,0.008616142272949219,0.0
93,0.009340176582336426,0.0
94,0.011044438362121583,0.0
95,0.010981708526611329,0.0
96,0.009233569145202637,0.0
97,0.00632696008682251,0.0
98,4.354256689548493E-4,0.0
99,1.4319498091936111E-5,0.0
100,0.009158717155456544,0.0
101,0.008860257148742676,0.0
102,0.008608994483947753,0.0
103,0.008579265594482422,0.0
104,0.008958868026733399,0.0
105,0.011878658294677734,0.0
106,0.008490031242370605,0.0
107,1.0741791874170304E-4,0.0
108,0.009422774314880372,0.0
109,0.009126166343688964,0.0
110,0.008856683731079102,0.0
111,0.008629874229431152,0.0
112,0.008457653045654297,0.0
113,0.009318960189819337,0.0
114,0.005174458980560303,0.0
115,1.099296286702156E-5,0.0
116,0.009699519157409669,0.0
117,0.009407206535339356,0.0
118,0.009146838188171387,0.0
119,0.009100069046020507,0.0
120,0.007816714286804199,0.0
121,0.004587445259094238,0.0
122,9.467084407806396E-4,0.0
123,2.5167666375637055E-5,0.0
124,0.009966846466064454,0.0
125,0.009713948249816895,0.0
126,0.009606369018554687,0.0
127,0.009569375038146973,0.0
128,0.006284721374511719,0.0
129,0.0035715417861938476,0.0
130,3.315568268299103E-4,0.0
131,8.329907432198525E-6,0.0
132,0.010191225051879882,0.0
133,0.011563326835632324,0.0
134,0.011683579444885255,0.0
135,0.009107725143432617,0.0
136,0.002935249328613281,0.0
137,0.0027650179862976076,0.0
138,1.0686451941728593E-4,0.0
139,0.010370302200317384,0.0
140,0.01871026420593262,0.0
141,0.013816665649414063,0.0
142,0.008975970268249513,0.0
143,0.004719450473785401,0.0
144,0.0018861799240112306,0.0
145,0.001540600061416626,0.0
146,0.01050929069519043,0.0
147,0.020600479125976564,0.0
148,0.014861268997192383,0.0
149,0.010714800834655761,0.0
150,0.004844418525695801,0.0
151,0.0019140523672103883,0.0
152,0.01038718605041504,0.0
153,0.017951433181762694,0.0
154,0.013649381637573243,0.0
155,0.010541234016418457,0.0
156,0.0061408567428588865,0.0
157,0.0039442856311798094,0.0
158,0.010385689735412597,0.0
159,0.016775066375732423,0.0
160,0.013141204833984375,0.0
161,0.0105158109664917,0.0
162,0.006798896312713623,0.0
163,0.0049434943199157715,0.0
164,0.01041928005218506,0.0
165,0.015633785247802734,0.0
166,0.01266811466217041,0.0
167,0.010525474548339844,0.0
168,0.007492022037506103,0.0
169,0.005977789402008057,0.0
170,0.010487957000732422,0.0
171,0.014527590751647949,0.0
172,0.012230110168457032,0.0
173,0.010570224761962892,0.0
174,0.008220234870910646,0.0
175,0.0070471706390380865,0.0
176,0.010591720581054688,0.0
177,0.013456482887268067,0.0
178,0.011827192306518556,0.0
179,0.01065006160736084,0.0
180,0.008983532905578613,0.0
181,0.008151638984680175,0.0
182,0.01073056983947754,0.0
183,0.012420461654663087,0.0
184,0.011459361076354981,0.0
185,0.010764985084533692,0.0
186,0.009781918525695802,0.0
187,0.009291193008422852,0.0
188,0.010904505729675293,0.0
189,0.011419526100158691,0.0
190,0.01112661647796631,0.0
191,0.01091499423980713,0.0
192,0.010615389823913574,0.0
193,0.01046583366394043,0.0
194,0.01111352825164795,0.0
195,0.010453678131103516,0.0
196,0.010828957557678223,0.0
197,0.01110009002685547,0.0
198,0.01148394775390625,0.0
199,0.01167556095123291,0.0
200,0.01122712516784668,0.0
201,0.01122712516784668,0.0
202,0.01122712516784668,0.0
203,0.01122712516784668,0.0
204,0.01122712516784668,0.0
205,0.01122712516784668,0.0
206,0.011377806663513184,0.0
207,0.011377806663513184,0.0
208,0.011377806663513184,0.0
209,0.011377806663513184,0.0
210,0.011377806663513184,0.0
211,0.011377806663513184,0.0
212,0.011528489112854003,0.0
213,0.011528489112854003,0.0
214,0.011528489112854003,0.0
215,0.011528489112854003,0.0
216,0.011528489112854003,0.0
217,0.011528489112854003,0.0
218,0.011679170608520507,0.0
219,0.011679170608520507,0.0
220,0.011679170608520507,0.0
221,0.011679170608520507,0.0
222,0.011679170608520507,0.0
223,0.011679170608520507,0.0
224,0.011829853057861328,0.0
225,0.011829853057861328,0.0
226,0.011829853057861328,0.0
227,0.011829853057861328,0.0
228,0.011829853057861328,0.0
229,0.011980534553527832,0.0
230,0.011980534553527832,0.0
231,0.011980534553527832,0.0
232,0.011980534553527832,0.0
233,0.011980534553527832,0.0
234,0.012131216049194336,0.0
235,0.012131216049194336,0.0
236,0.012131216049194336,0.0
237,0.012131216049194336,0.0
238,0.012131216049194336,0.0
239,0.012281898498535157,0.0
240,0.012281898498535157,0.0
241,0.012281898498535157,0.0
242,0.012281898498535157,0.0
243,0.012281898498535157,0.0
244,0.012432579994201661,0.0
245,0.012432579994201661,0.0
246,0.012432579994201661,0.0
247,0.012432579994201661,0.0
248,0.012432579994201661,0.0
249,0.01258326244354248,0.0
250,0.01258326244354248,0.0
251,0.01258326244354248,0.0
252,0.01258326244354248,0.0
253,0.01258326244354248,0.0
254,0.012733943939208984,0.0
255,0.012733943939208984,0.0
256,0.012733943939208984,0.0
257,0.012733943939208984,0.0
258,0.012733943939208984,0.0
259,0.012884626388549805,0.0
260,0.012884626388549805,0.0
261,0.012884626388549805,0.0
262,0.012884626388549805,0.0
263,0.012884626388549805,0.0
264,0.013035307884216309,0.0
265,0.013035307884216309,0.0
266,0.013035307884216309,0.0
267,0.013035307884216309,0.0
268,0.013035307884216309,0.0
269,0.01318599033355713,0.0
270,0.01318599033355713,0.0
271,0.01318599033355713,0.0
272,0.01318599033355713,0.0
273,0.01318599033355713,0.0
274,0.013336671829223634,0.0
275,0.013336671829223634,0.0
276,0.013336671829223634,0.0
277,0.013336671829223634,0.0
