Rupture Index,Average Slip (m)
0,0.39849147551125325
1,0.48812296019960716
2,0.5636776326333213
3,0.6302558030057224
4,0.7456594529687256
5,0.8455306973876208
6,0.9347531697133397
7,1.0160387013340277
8,1.0912464554254222
9,1.1616033840498798
10,1.227925425196734
11,1.1272941655915762
12,1.2282941709322264
13,1.3215429845352047
14,1.4086635303538906
15,1.4907041154202838
16,1.5684670119250412
17,1.6425320800864047
18,1.7134478083566536
19,1.7815986986960823
20,1.8472229867590029
21,1.4909302138409415
22,1.593783266080294
23,1.6904104443598988
24,1.7817917200051292
25,1.868670427782477
26,1.9517533297464107
27,2.0314906959841013
28,2.1081898714897207
29,2.182150083924492
30,2.253649856374861
31,2.3229511002484284
32,2.390283204707045
33,2.4557778195233126
34,1.8689203007017938
35,1.9721999974226243
36,2.070276647162044
37,2.1639896384056594
38,2.253857787222177
39,2.3402477873353393
40,2.4235138609956204
41,2.5039765410633943
42,2.5819321282699583
43,2.657643121364685
44,2.7312632968068677
45,2.802921776163409
46,2.8727597273527166
47,2.940928761414714
48,3.007566509658345
49,3.0727529101451045
50,3.1365368305718553
51,3.1990249813325207
52,3.2603305267566802
53,3.320503253625237
54,3.379600377074856
55,3.437671845617155
56,3.494761424926747
57,3.550918892551307
58,3.6061942986367144
59,3.660632838642061
60,3.714274769792385
61,3.7671494338240583
62,3.8192854636509064
63,3.8707040096786147
64,3.9214346423077346
65,3.971507772747241
66,4.020950484653707
67,4.0697827093286465
68,4.11802673300691
69,4.16570602653214
70,4.212839517209778
71,4.2594424275062766
72,4.305530811327767
73,4.351119694549859
74,4.3962236687662415
75,4.440859171386332
76,4.485038306722412
77,4.528774143455136
78,4.572077393700016
79,4.61496183348646
80,4.657442438881982
81,4.699529036502086
82,4.741228107153196
83,4.782553919476303
84,4.823518682016962
85,4.864133481503002
86,4.904406000678689
87,4.944344029233441
88,4.983954901959352
89,5.023245963411269
90,5.062226057965801
91,5.100902235121259
92,5.139280997849705
93,5.177367457152305
94,5.215167624725079
95,5.252687264205686
96,5.289937186727347
97,5.326907532989775
98,5.363580431911698
99,5.399994410647456
100,5.436179481196031
101,5.472142783773428
102,5.50787672783388
103,5.522087277301861
104,2.200432862685831
105,2.3060975276626134
106,2.407179776329856
107,2.5041547202028314
108,2.5974654203372127
109,2.687500534480898
110,2.7746106230676446
111,2.859108608461224
112,2.9411874002548943
113,3.021009595801323
114,3.0987410872304317
115,3.1745610333287746
116,3.248628868947449
117,3.321035937604639
118,3.3918459519915904
119,3.461181674364645
120,3.5291704844733798
121,3.5958688162818997
122,3.6613458864836153
123,3.7256638719366855
124,3.7888759905711815
125,3.851037869639593
126,3.912204139268263
127,3.962440722026277
128,4.01204942091668
129,4.061048897350166
130,4.109457938397401
131,4.157289072792537
132,4.204563279628561
133,4.251302921015062
134,4.297527796329893
135,4.343251488036906
136,4.388490195021084
137,4.433261615566584
138,4.4775795345691645
139,4.521454558581239
140,4.564898349806571
141,4.607921854903973
142,4.650535842379758
143,4.69275304157876
144,4.734582283415729
145,4.776033488919605
146,4.817114509809138
147,4.8578362565485085
148,4.898210929417181
149,4.9382459711386755
150,4.977945755211367
151,5.017322178598128
152,5.056385290144505
153,5.095144171657869
154,5.133604747447926
155,5.171773123819205
156,5.209655047386136
157,5.247256344209447
158,5.284584343306178
159,5.321644719459856
160,5.358442681665483
161,5.402274716200952
162,5.445744769476776
163,5.488860868196776
164,5.531636611823391
165,5.574064090598927
166,5.616127938788372
167,5.6509147481614095
168,5.685503063927244
169,5.719898973563085
170,5.754094503553589
